Year,City,Value
2010,,
2010,Chisinau,
2010,Leova,5.9
2010,Balti,274
2010,Tiraspol,102
2010,Bender,42
2010,Rabnita,160
2011,,
2011,Chisinau,
2011,Leova,17.1
2011,Balti,310
2011,Tiraspol,103
2011,Bender,55
2011,Rabnita,122
2012,,
2012,Chisinau,
2012,Leova,16.1
2012,Balti,283
2012,Tiraspol,70
2012,Bender,55
2012,Rabnita,103
2013,,
2013,Chisinau,23.7
2013,Leova,30.3
2013,Balti,300
2013,Tiraspol,60
2013,Bender,44
2013,Rabnita,76
2014,,
2014,Chisinau,28.8
2014,Leova,19.2
2014,Balti,177
2014,Tiraspol,92
2014,Bender,41
2014,Rabnita,105
2015,,
2015,Chisinau,33
2015,Leova,
2015,Balti,282
2015,Tiraspol,80
2015,Bender,45
2015,Rabnita,115
2016,,
2016,Chisinau,27.2
2016,Leova,
2016,Balti,230
2016,Tiraspol,60
2016,Bender,43
2016,Rabnita,95
2017,,
2017,Chisinau,30.7
2017,Leova,22.8
2017,Balti,200
2017,Tiraspol,46
2017,Bender,39
2017,Rabnita,95
2018,,
2018,Chisinau,43
2018,Leova,
2018,Balti,204
2018,Tiraspol,42
2018,Bender,45
2018,Rabnita,109
2019,,
2019,Chisinau,58
2019,Leova,
2019,Balti,185
2019,Tiraspol,59
2019,Bender,54
2019,Rabnita,127
2020,,
2020,Chisinau,82
2020,Leova,
2020,Balti,192
2020,Tiraspol,57
2020,Bender,47
2020,Rabnita,124
2021,,
2021,Chisinau,63
2021,Leova,
2021,Balti,203
2021,Tiraspol,38
2021,Bender,41
2021,Rabnita,103
2022,,
2022,Chisinau,45
2022,Leova,
2022,Balti,164
2022,Tiraspol,47
2022,Bender,52
2022,Rabnita,124
