Year,Proportion of persons aged of 13-15 year who have completed primary education,Mediul de reședință,Sex,Proportion of persons aged of 18-20 year who have completed lower secondary education (gimnasium),Area of residence.1,Sex.1,Proportion of persons aged of 21-23 year who have completed upper secondary education,Area of residence.2,Sex.2,Value
2010,,,,,,,,,,0.0
2010,Total,,,,,,,,,
2010,,Urban,,,,,,,,
2010,,Rural,,,,,,,,
2010,,,Bărbați,,,,,,,
2010,,,Femei,,,,,,,
2010,,,,Total,,,,,,
2010,,,,,Urban,,,,,
2010,,,,,Rural,,,,,
2010,,,,,,Bărbați,,,,
2010,,,,,,Femei,,,,
2010,,,,,,,Total,,,
2010,,,,,,,,Urban,,
2010,,,,,,,,Rural,,
2010,,,,,,,,,Bărbați,
2010,,,,,,,,,Femei,
2011,,,,,,,,,,0.0
2011,Total,,,,,,,,,
2011,,Urban,,,,,,,,
2011,,Rural,,,,,,,,
2011,,,Bărbați,,,,,,,
2011,,,Femei,,,,,,,
2011,,,,Total,,,,,,
2011,,,,,Urban,,,,,
2011,,,,,Rural,,,,,
2011,,,,,,Bărbați,,,,
2011,,,,,,Femei,,,,
2011,,,,,,,Total,,,
2011,,,,,,,,Urban,,
2011,,,,,,,,Rural,,
2011,,,,,,,,,Bărbați,
2011,,,,,,,,,Femei,
2012,,,,,,,,,,0.0
2012,Total,,,,,,,,,
2012,,Urban,,,,,,,,
2012,,Rural,,,,,,,,
2012,,,Bărbați,,,,,,,
2012,,,Femei,,,,,,,
2012,,,,Total,,,,,,
2012,,,,,Urban,,,,,
2012,,,,,Rural,,,,,
2012,,,,,,Bărbați,,,,
2012,,,,,,Femei,,,,
2012,,,,,,,Total,,,
2012,,,,,,,,Urban,,
2012,,,,,,,,Rural,,
2012,,,,,,,,,Bărbați,
2012,,,,,,,,,Femei,
2013,,,,,,,,,,0.0
2013,Total,,,,,,,,,
2013,,Urban,,,,,,,,
2013,,Rural,,,,,,,,
2013,,,Bărbați,,,,,,,
2013,,,Femei,,,,,,,
2013,,,,Total,,,,,,
2013,,,,,Urban,,,,,
2013,,,,,Rural,,,,,
2013,,,,,,Bărbați,,,,
2013,,,,,,Femei,,,,
2013,,,,,,,Total,,,
2013,,,,,,,,Urban,,
2013,,,,,,,,Rural,,
2013,,,,,,,,,Bărbați,
2013,,,,,,,,,Femei,
2014,,,,,,,,,,0.0
2014,Total,,,,,,,,,99.7
2014,,Urban,,,,,,,,99.6
2014,,Rural,,,,,,,,99.8
2014,,,Bărbați,,,,,,,99.7
2014,,,Femei,,,,,,,99.8
2014,,,,Total,,,,,,98.8
2014,,,,,Urban,,,,,99.3
2014,,,,,Rural,,,,,98.6
2014,,,,,,Bărbați,,,,98.3
2014,,,,,,Femei,,,,99.3
2014,,,,,,,Total,,,78.3
2014,,,,,,,,Urban,,92.0
2014,,,,,,,,Rural,,69.1
2014,,,,,,,,,Bărbați,74.7
2014,,,,,,,,,Femei,82.3
2015,,,,,,,,,,0.0
2015,Total,,,,,,,,,99.7
2015,,Urban,,,,,,,,99.6
2015,,Rural,,,,,,,,99.7
2015,,,Bărbați,,,,,,,99.6
2015,,,Femei,,,,,,,99.8
2015,,,,Total,,,,,,99.0
2015,,,,,Urban,,,,,99.6
2015,,,,,Rural,,,,,98.7
2015,,,,,,Bărbați,,,,98.8
2015,,,,,,Femei,,,,99.1
2015,,,,,,,Total,,,77.2
2015,,,,,,,,Urban,,90.2
2015,,,,,,,,Rural,,69.8
2015,,,,,,,,,Bărbați,73.0
2015,,,,,,,,,Femei,81.5
2016,,,,,,,,,,0.0
2016,Total,,,,,,,,,99.8
2016,,Urban,,,,,,,,100.0
2016,,Rural,,,,,,,,99.8
2016,,,Bărbați,,,,,,,99.8
2016,,,Femei,,,,,,,99.9
2016,,,,Total,,,,,,99.3
2016,,,,,Urban,,,,,100.0
2016,,,,,Rural,,,,,99.0
2016,,,,,,Bărbați,,,,99.6
2016,,,,,,Femei,,,,99.0
2016,,,,,,,Total,,,79.3
2016,,,,,,,,Urban,,91.1
2016,,,,,,,,Rural,,71.6
2016,,,,,,,,,Bărbați,76.0
2016,,,,,,,,,Femei,82.7
2017,,,,,,,,,,0.0
2017,Total,,,,,,,,,99.9
2017,,Urban,,,,,,,,99.6
2017,,Rural,,,,,,,,100.0
2017,,,Bărbați,,,,,,,99.7
2017,,,Femei,,,,,,,100.0
2017,,,,Total,,,,,,99.4
2017,,,,,Urban,,,,,99.6
2017,,,,,Rural,,,,,99.3
2017,,,,,,Bărbați,,,,99.5
2017,,,,,,Femei,,,,99.3
2017,,,,,,,Total,,,79.9
2017,,,,,,,,Urban,,91.6
2017,,,,,,,,Rural,,73.9
2017,,,,,,,,,Bărbați,78.4
2017,,,,,,,,,Femei,81.5
2018,,,,,,,,,,0.0
2018,Total,,,,,,,,,99.7
2018,,Urban,,,,,,,,99.5
2018,,Rural,,,,,,,,99.7
2018,,,Bărbați,,,,,,,99.9
2018,,,Femei,,,,,,,99.4
2018,,,,Total,,,,,,99.0
2018,,,,,Urban,,,,,99.1
2018,,,,,Rural,,,,,98.9
2018,,,,,,Bărbați,,,,98.9
