Year,Mediul de reședință,Nașteri la vârsta de 10-14 ani,Value
2010,,,
2010,Urban,,
2010,Rural,,
2010,,Total nașteri la 10-14 ani,
2010,,"Urban, nașteri la 10-14 ani",
2010,,"Rural, nașteri la 10-14 ani",
2011,,,
2011,Urban,,
2011,Rural,,
2011,,Total nașteri la 10-14 ani,
2011,,"Urban, nașteri la 10-14 ani",
2011,,"Rural, nașteri la 10-14 ani",
2012,,,
2012,Urban,,
2012,Rural,,
2012,,Total nașteri la 10-14 ani,
2012,,"Urban, nașteri la 10-14 ani",
2012,,"Rural, nașteri la 10-14 ani",
2013,,,
2013,Urban,,
2013,Rural,,
2013,,Total nașteri la 10-14 ani,
2013,,"Urban, nașteri la 10-14 ani",
2013,,"Rural, nașteri la 10-14 ani",
2014,,,32.2
2014,Urban,,15.9
2014,Rural,,41.0
2014,,Total nașteri la 10-14 ani,0.1
2014,,"Urban, nașteri la 10-14 ani",0.1
2014,,"Rural, nașteri la 10-14 ani",0.1
2015,,,34.1
2015,Urban,,16.8
2015,Rural,,42.9
2015,,Total nașteri la 10-14 ani,0.1
2015,,"Urban, nașteri la 10-14 ani",0.0
2015,,"Rural, nașteri la 10-14 ani",0.1
2016,,,34.5
2016,Urban,,19.2
2016,Rural,,41.7
2016,,Total nașteri la 10-14 ani,0.1
2016,,"Urban, nașteri la 10-14 ani",0.0
2016,,"Rural, nașteri la 10-14 ani",0.2
2017,,,31.8
2017,Urban,,15.6
2017,Rural,,39.0
2017,,Total nașteri la 10-14 ani,0.2
2017,,"Urban, nașteri la 10-14 ani",0.2
2017,,"Rural, nașteri la 10-14 ani",0.2
2018,,,31.3
2018,Urban,,15.6
2018,Rural,,38.1
2018,,Total nașteri la 10-14 ani,0.1
2018,,"Urban, nașteri la 10-14 ani",0.0
2018,,"Rural, nașteri la 10-14 ani",0.1
2019,,,28.4
2019,Urban,,16.7
2019,Rural,,33.8
2019,,Total nașteri la 10-14 ani,0.1
2019,,"Urban, nașteri la 10-14 ani",0.2
2019,,"Rural, nașteri la 10-14 ani",0.1
2020,,,27.2
2020,Urban,,12.7
2020,Rural,,34.5
2020,,Total nașteri la 10-14 ani,0.1
2020,,"Urban, nașteri la 10-14 ani",0.2
2020,,"Rural, nașteri la 10-14 ani",0.1
2021,,,26.2
2021,Urban,,11.4
2021,Rural,,34.2
2021,,Total nașteri la 10-14 ani,0.1
2021,,"Urban, nașteri la 10-14 ani",0.0
2021,,"Rural, nașteri la 10-14 ani",0.1
2022,,,
2022,Urban,,
2022,Rural,,
2022,,Total nașteri la 10-14 ani,
2022,,"Urban, nașteri la 10-14 ani",
2022,,"Rural, nașteri la 10-14 ani",
