Year,Sex,Forme de proprietate,Value
2010,,,
2010,Femei,,
2010,Bărbați,,
2010,,Publică,
2010,,Alte,
2011,,,
2011,Femei,,
2011,Bărbați,,
2011,,Publică,
2011,,Alte,
2012,,,
2012,Femei,,
2012,Bărbați,,
2012,,Publică,
2012,,Alte,
2013,,,70.1
2013,Femei,,70.1
2013,Bărbați,,69.5
2013,,Publică,70.1
2013,,Alte,67.9
2014,,,80.5
2014,Femei,,81.1
2014,Bărbați,,62.4
2014,,Publică,80.5
2014,,Alte,94.4
2015,,,84.9
2015,Femei,,85.4
2015,Bărbați,,66.2
2015,,Publică,84.8
2015,,Alte,94.4
2016,,,90.7
2016,Femei,,90.9
2016,Bărbați,,82.4
2016,,Publică,90.7
2016,,Alte,73.2
2017,,,90.8
2017,Femei,,91.1
2017,Bărbați,,78.2
2017,,Publică,90.8
2017,,Alte,76.7
2018,,,89.6
2018,Femei,,90.2
2018,Bărbați,,66.0
2018,,Publică,89.6
2018,,Alte,88.3
2019,,,89.5
2019,Femei,,90.2
2019,Bărbați,,63.6
2019,,Publică,89.5
2019,,Alte,91.2
2020,,,90.0
2020,Femei,,90.6
2020,Bărbați,,66.6
2020,,Publică,90.1
2020,,Alte,83.7
2021,,,90.4
2021,Femei,,90.9
2021,Bărbați,,71.1
2021,,Publică,90.4
2021,,Alte,95.7
2022,,,
2022,Femei,,
2022,Bărbați,,
2022,,Publică,
2022,,Alte,
